stop_id,stop_name,stop_lat,stop_lon
stop_1_001,Lawton to PITX via Tatft - Stop 1,14.59475690741914,120.98056106564178
stop_1_002,Lawton to PITX via Tatft - Stop 2,14.59448862975028,120.98019615259219
stop_1_003,Lawton to PITX via Tatft - Stop 3,14.594348633452228,120.97977347143684
stop_1_004,Lawton to PITX via Tatft - Stop 4,14.59420169558492,120.9793459605345
stop_1_005,Lawton to PITX via Tatft - Stop 5,14.593969002183163,120.97897473904153
stop_1_006,Lawton to PITX via Tatft - Stop 6,14.593531019995574,120.97896311255101
stop_1_007,Lawton to PITX via Tatft - Stop 7,14.593173137342722,120.97922877798294
stop_1_008,Lawton to PITX via Tatft - Stop 8,14.592812463727272,120.97949810075589
stop_1_009,Lawton to PITX via Tatft - Stop 9,14.59248970642215,120.97981268525467
stop_1_010,Lawton to PITX via Tatft - Stop 10,14.592112053138063,120.98005784802916
stop_1_011,Lawton to PITX via Tatft - Stop 11,14.591685719072531,120.980210411705
stop_1_012,Lawton to PITX via Tatft - Stop 12,14.591255170960567,120.98035267804133
stop_1_013,Lawton to PITX via Tatft - Stop 13,14.590824739315957,120.98049529655552
stop_1_014,Lawton to PITX via Tatft - Stop 14,14.590388838671418,120.98062001722299
stop_1_015,Lawton to PITX via Tatft - Stop 15,14.589946342967263,120.98071255798483
stop_1_016,Lawton to PITX via Tatft - Stop 16,14.589518873050334,120.98084341929521
stop_1_017,Lawton to PITX via Tatft - Stop 17,14.58907562736541,120.98093881136298
stop_1_018,Lawton to PITX via Tatft - Stop 18,14.588650824645697,120.98108646152482
stop_1_019,Lawton to PITX via Tatft - Stop 19,14.588260928425656,120.9813177666811
stop_1_020,Lawton to PITX via Tatft - Stop 20,14.587873277688157,120.98155300140448
stop_1_021,Lawton to PITX via Tatft - Stop 21,14.587482240323695,120.98178130331486
stop_1_022,Lawton to PITX via Tatft - Stop 22,14.58707423355146,120.98197831718953
stop_1_023,Lawton to PITX via Tatft - Stop 23,14.586680414039481,120.98220307847012
stop_1_024,Lawton to PITX via Tatft - Stop 24,14.586286516827803,120.98242770351793
stop_1_025,Lawton to PITX via Tatft - Stop 25,14.585892569715273,120.98265224107337
stop_1_026,Lawton to PITX via Tatft - Stop 26,14.585498622602744,120.98287677862879
stop_1_027,Lawton to PITX via Tatft - Stop 27,14.58510424944183,120.98310055901753
stop_1_028,Lawton to PITX via Tatft - Stop 28,14.584707850605831,120.9833207394074
stop_1_029,Lawton to PITX via Tatft - Stop 29,14.58431145176983,120.98354091979729
stop_1_030,Lawton to PITX via Tatft - Stop 30,14.583915052933829,120.98376110018717
stop_1_031,Lawton to PITX via Tatft - Stop 31,14.583518654097828,120.98398128057704
stop_1_032,Lawton to PITX via Tatft - Stop 32,14.58312445486528,120.98420535190509
stop_1_033,Lawton to PITX via Tatft - Stop 33,14.582731405800402,120.98443145779592
stop_1_034,Lawton to PITX via Tatft - Stop 34,14.582338356735525,120.98465756368675
stop_1_035,Lawton to PITX via Tatft - Stop 35,14.581945307670647,120.98488366957758
stop_1_036,Lawton to PITX via Tatft - Stop 36,14.581552258605772,120.98510977546842
stop_1_037,Lawton to PITX via Tatft - Stop 37,14.581158164884437,120.98533404924535
stop_1_038,Lawton to PITX via Tatft - Stop 38,14.580763401087928,120.98555714784739
stop_1_039,Lawton to PITX via Tatft - Stop 39,14.580368637291418,120.98578024644944
stop_1_040,Lawton to PITX via Tatft - Stop 40,14.579973873494907,120.98600334505149
stop_1_041,Lawton to PITX via Tatft - Stop 41,14.579579109698399,120.98622644365352
stop_1_042,Lawton to PITX via Tatft - Stop 42,14.579184345901888,120.98644954225557
stop_1_043,Lawton to PITX via Tatft - Stop 43,14.578789582105378,120.9866726408576
stop_1_044,Lawton to PITX via Tatft - Stop 44,14.578397863883138,120.98690103563287
stop_1_045,Lawton to PITX via Tatft - Stop 45,14.578006480390304,120.98713001249372
stop_1_046,Lawton to PITX via Tatft - Stop 46,14.577615096897471,120.98735898935458
stop_1_047,Lawton to PITX via Tatft - Stop 47,14.577223713404637,120.98758796621543
stop_1_048,Lawton to PITX via Tatft - Stop 48,14.576830621294599,120.98781397114163
stop_1_049,Lawton to PITX via Tatft - Stop 49,14.576435812446688,120.98803699000828
stop_1_050,Lawton to PITX via Tatft - Stop 50,14.576041003598776,120.98826000887493
stop_1_051,Lawton to PITX via Tatft - Stop 51,14.575646194750867,120.98848302774158
stop_1_052,Lawton to PITX via Tatft - Stop 52,14.575251385902956,120.98870604660823
stop_1_053,Lawton to PITX via Tatft - Stop 53,14.574856577055044,120.98892906547488
stop_1_054,Lawton to PITX via Tatft - Stop 54,14.574461768207135,120.98915208434151
stop_1_055,Lawton to PITX via Tatft - Stop 55,14.574065235819756,120.98937202031841
stop_1_056,Lawton to PITX via Tatft - Stop 56,14.57366847227483,120.98959154282453
stop_1_057,Lawton to PITX via Tatft - Stop 57,14.573271708729905,120.98981106533063
stop_1_058,Lawton to PITX via Tatft - Stop 58,14.57287494518498,120.99003058783674
stop_1_059,Lawton to PITX via Tatft - Stop 59,14.572478181640054,120.99025011034284
stop_1_060,Lawton to PITX via Tatft - Stop 60,14.572081418095129,120.99046963284894
stop_1_061,Lawton to PITX via Tatft - Stop 61,14.571687383545736,120.99069399211604
stop_1_062,Lawton to PITX via Tatft - Stop 62,14.57129433421524,120.99092009754513
stop_1_063,Lawton to PITX via Tatft - Stop 63,14.570901284884744,120.99114620297422
stop_1_064,Lawton to PITX via Tatft - Stop 64,14.570508130585203,120.99137212275512
