stop_id,stop_name,stop_lat,stop_lon
stop_1_001,Lawton to PITX via Tatft - Stop 1,14.59475690741914,120.98056106564178
stop_1_002,Lawton to PITX via Tatft - Stop 2,14.59448862975028,120.9801961525922
stop_1_003,Lawton to PITX via Tatft - Stop 3,14.594348633452228,120.97977347143684
stop_1_004,Lawton to PITX via Tatft - Stop 4,14.59420169558492,120.9793459605345
stop_1_005,Lawton to PITX via Tatft - Stop 5,14.593969002183163,120.97897473904152
stop_1_007,Lawton to PITX via Tatft - Stop 7,14.593173137342722,120.97922877798294
stop_1_009,Lawton to PITX via Tatft - Stop 9,14.59248970642215,120.97981268525469
stop_1_011,Lawton to PITX via Tatft - Stop 11,14.591685719072531,120.980210411705
stop_1_013,Lawton to PITX via Tatft - Stop 13,14.590824739315956,120.98049529655552
stop_1_015,Lawton to PITX via Tatft - Stop 15,14.589946342967265,120.98071255798484
stop_1_017,Lawton to PITX via Tatft - Stop 17,14.58907562736541,120.98093881136298
stop_1_019,Lawton to PITX via Tatft - Stop 19,14.588260928425656,120.9813177666811
stop_1_021,Lawton to PITX via Tatft - Stop 21,14.587482240323697,120.98178130331486
stop_1_023,Lawton to PITX via Tatft - Stop 23,14.58668041403948,120.98220307847012
stop_1_025,Lawton to PITX via Tatft - Stop 25,14.585892569715272,120.98265224107335
stop_1_027,Lawton to PITX via Tatft - Stop 27,14.58510424944183,120.98310055901752
stop_1_029,Lawton to PITX via Tatft - Stop 29,14.58431145176983,120.98354091979728
stop_1_031,Lawton to PITX via Tatft - Stop 31,14.583518654097828,120.98398128057704
stop_1_033,Lawton to PITX via Tatft - Stop 33,14.582731405800402,120.98443145779592
stop_1_035,Lawton to PITX via Tatft - Stop 35,14.581945307670647,120.98488366957758
stop_1_037,Lawton to PITX via Tatft - Stop 37,14.581158164884435,120.98533404924537
stop_1_039,Lawton to PITX via Tatft - Stop 39,14.580368637291418,120.98578024644944
stop_1_041,Lawton to PITX via Tatft - Stop 41,14.5795791096984,120.98622644365352
stop_1_043,Lawton to PITX via Tatft - Stop 43,14.578789582105378,120.9866726408576
